file	schema	imaginary_field_grid	equal_time_prescription	connected_strategy	constant_magnetization	labels	beta	h_abs	JL	JQ	Tmax	delta_real_t	delta_imag_t	num_samples	iterations	termination	factorization	fft_cutoff	iteration_error_last	kms_last	closure_max	stationarity_last	magnetization_drift_max	phase_last	approximation_error_last	max_Re_correlation_SE	edge_shape	finite
NOT_CONVERGED/spinmodel=ISO__beta=2__factor=fft_wcut=10.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	retarded	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(t)m_b(0), complex unconjugated; connect the mixed primitive before contour-block reconstruction	no	xx,xy,yx,zz	2.0	0.0	0.0	1.0	10.0	0.05	0.04	8000	20	by iteration limit	fft	10.0	0.009879438583836513	0.004491749590119776	0.015147616712033627	0.009741149026847258	0.009741149026847258	0.9964163953196726	0.0011004101950305102	0.0028179636658759465	201x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__factor=fft_wcut=10X.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	retarded	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(t)m_b(0), complex unconjugated; connect the mixed primitive before contour-block reconstruction	no	xx,xy,yx,zz	2.0	0.0	0.0	1.0	10.0	0.05	0.04	80000	20	by iteration limit	fft	10.0	0.003606842408375461	0.002176604765929039	0.0032452238392858546	0.002576080554618166	0.002576080554618166	0.9963547354754916	0.0006420545224305745	0.0008201730038180667	201x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=10.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	not_stored	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(t)m_b(0), complex unconjugated; connect the mixed primitive before contour-block reconstruction	no	xx,xy,yx,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	8000	20	by iteration limit	fft	10.0	0.019239316392125724	0.009192456817617371	0.02357570224747262	0.014621874673693367	0.014621874673693365	0.9954484129705878	0.0013977371447578808	0.0036725242652779553	201x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=10X.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	retarded	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(t)m_b(0), complex unconjugated; connect the mixed primitive before contour-block reconstruction	no	xx,xy,yx,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	80000	20	by iteration limit	fft	10.0	0.008878359794354734	0.004415541241927853	0.013338205983381526	0.004939770497559204	0.004939770497559205	0.9955008267506323	0.0012103427551042839	0.0012903186249029269	201x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=10__mag=constant.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	not_stored	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(0)m_b(0), complex unconjugated equilibrium projection; connect the mixed primitive before contour-block reconstruction	yes	xx,xy,yx,zz	2.0	0.5	0.0	1.0	20.0	0.1	0.04	8000	20	by iteration limit	fft	10.0	0.04314851043000191	0.0298899964354771	0.17223236396860672	0.08725148754279609	0.08725148754279609	0.9977567258659673	0.0025144993646494395	0.012528203156975904	201x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=10__mag=constantX.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	not_stored	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(0)m_b(0), complex unconjugated equilibrium projection; connect the mixed primitive before contour-block reconstruction	yes	xx,xy,yx,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	8000	20	by iteration limit	fft	10.0	0.010108128340757826	0.009146167309677275	0.014789678268005441	0.01656070869171802	0.01656070869171802	0.9955939759843531	0.0017672032205628097	0.0035067612546317265	201x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=10__mag=constantXX.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	retarded	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(0)m_b(0), complex unconjugated equilibrium projection; connect the mixed primitive before contour-block reconstruction	yes	xx,xy,yx,zz	2.0	0.5	0.0	1.0	20.0	0.1	0.04	80000	20	by iteration limit	fft	10.0	0.010836449119640752	0.010100351485909658	0.07847275803594446	0.022199589158058104	0.022199589158058107	0.9978870123257605	0.0013951561512483095	0.0032910512117181054	201x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=5.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.0	0.5	0.0	1.0	20.0	0.05	0.04	8000	20	by iteration limit	fft	5.0	0.02291870067165672	0.025172433134821214	0.04780772661852952	0.03611648684434901	0.036116486844349004	0.995612420233706	0.0033954141204836467	0.011630225306825337	401x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=5X.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	not_stored	X_conn^{ab}(t,tau)=X^{ab}(t,tau)-m_a(t)m_b(0), complex unconjugated; connect the mixed primitive before contour-block reconstruction	not_stored	xx,xy,yx,zz	2.0	0.5	0.0	1.0	20.0	0.2	0.04	8000	20	by iteration limit	fft	5.0	0.04817713192927344	0.027952312167032447	0.08488248732216726	0.06735519692714091	0.06735519692714091	0.9990496197191625	0.006181108638307234	0.010921106279820805	101x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=8.hdf5	current_edge_only	periodic edge grid; tau=k*delta_imag_t for k=0,...,N_tau-1	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.0	0.5	0.0	1.0	10.0	0.025	0.04	80000	20	by iteration limit	fft	8.0	0.003546761188158979	0.003610410637752094	0.003954622267359235	0.0034712119165582014	0.003471211916558201	0.9916214866684098	0.0009527007092703025	0.001193331674213646	401x4x51	True
