file	schema	imaginary_field_grid	equal_time_prescription	connected_strategy	constant_magnetization	labels	beta	h_abs	JL	JQ	Tmax	delta_real_t	delta_imag_t	num_samples	iterations	termination	factorization	fft_cutoff	iteration_error_last	kms_last	closure_max	stationarity_last	magnetization_drift_max	phase_last	approximation_error_last	max_Re_correlation_SE	edge_shape	finite
Diagnose_pq_blowup/NOT_CONVERGED/spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5__factor=keldysh_pq_svd_balanced.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	1.0	0.5	-2.0	1.0	10.0	0.1	0.02	200	4	by iteration limit	keldysh_pq		44842.24688520241	51036.699118295954	1742.8239156694685	67057.2167890543	67057.2167890543	0.9118006759742859		43457.426680054334	101x9x51	True
Diagnose_pq_blowup/NOT_CONVERGED/spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5__factor=keldysh_pq_svd_balanced_n1000.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	1.0	0.5	-2.0	1.0	10.0	0.1	0.02	1000	3	by iteration limit	keldysh_pq		0.7098703172119911	0.9661503232881422	0.4412956228984862	0.702127514425015	0.7021275144250149	0.9969559192140184		0.45515137293833713	101x9x51	True
Diagnose_pq_blowup/NOT_CONVERGED/spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5_dense_control.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	1.0	0.5	-2.0	1.0	10.0	0.1	0.02	200	4	by iteration limit	dense		0.04686887554554528	0.04465175280460316	0.07890369026496334	0.0542861574318073	0.0542861574318073	0.9999549777676563		0.01999378065059807	101x9x51	True
Diagnose_pq_blowup/spinmodel=ISO__beta=1__factor=keldysh_pq_unbalanced.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	1.0	0.0	0.0	1.0	1.0	0.1	0.2	500	2	by convergence	keldysh_pq		0.02227277548454903	0.020909765150701132	0.0013071676419694712	0.005033495271441632	0.005033495271441632	0.9971110273848988		0.010818672414823033	11x9x6	True
NOT_CONVERGED/spinmodel=ISO__JL=-2__beta=2.5__h=z_h_abs=0.5.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.5	0.5	-2.0	1.0	10.0	0.1	0.05	8000	20	by iteration limit			0.03791771967552723	0.04214443585901068	0.1621315753502134	0.11743335356989602	0.11743335356989604	0.997543959798809		0.014565512643152385	101x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2.5__h=z_h_abs=0.5.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.5	0.5	0.0	1.0	10.0	0.1	0.05	8000	20	by iteration limit			0.015522803407650238	0.013847028454013697	0.05689488565990832	0.028500446229481283	0.028500446229481283	0.998956118872801		0.004652909193960561	101x4x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	8	1	by iteration limit	fft		0.14906923528151858	0.010484678139426032	1.853922022273707e-15	0.22536410732395262	0.22536410732395265	0.9999965688501153		0.09823032717047216	201x9x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	8	1	by iteration limit	fft	3.0	0.1920428035184562	0.013554478753731725	2.230160926315995e-15	0.2775610033674024	0.2775610033674024	0.9999902477083754	0.0013387217214024805	0.10544288752877343	201x9x51	True
NOT_CONVERGED/spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=3X.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,xz,yx,yy,yz,zx,zy,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	64	3	by iteration limit	fft	3.0	0.25194070413857794	0.37468876555583747	0.42558034661185945	0.36575807165429586	0.36575807165429586	0.9899234667333182	0.0409296491278778	0.1688317667136845	201x9x51	True
Old/spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	-2.0	1.0	10.0	0.2	0.03333333333333333	16000	5	by convergence			0.004001150552814234	0.0030871716771284008	0.04869067266911991	0.028145384431271108	0.028145384431271105	0.9999670779519693		0.00161521293290774	51x4x31	True
Old/spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5X.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	-2.0	1.0	10.0	0.1	0.03333333333333333	80000	6	by convergence			0.0015926980735252883	0.0025132807822380436	0.03274592983392945	0.01375338999602584	0.013753389996025841	0.9999369416460643		0.0007295165742453779	101x4x31	True
Old/spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5XX.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	-2.0	1.0	10.0	0.05	0.02	8000	5	by convergence			0.006297958710160729	0.005622139750947503	0.026505420985406317	0.009885661911807784	0.009885661911807786	0.9999280808944483		0.002623634917017992	201x4x51	True
Old/spinmodel=ISO__JL=-2__beta=1__h=z_h_abs=0.5XXX.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	-2.0	1.0	10.0	0.1	0.02	8000	4	by convergence			0.006880749960609084	0.0035932653938161234	0.030549194369338752	0.013372508716567508	0.013372508716567507	0.9999649511367664		0.002268691572860957	101x4x51	True
